organization_name,participants_COP28,participants_COP29,participants_total,is_insurance,website_url,search_method,content_source,processing_status,error_message,processed_at
Firgun Lanka (PVT) LTD,1,0,1,,,,,failed,Não foi possível encontrar website para Firgun Lanka (PVT) LTD,2025-07-31T01:28:14.057449
USA Business Community,1,0,1,False,https://en.wikipedia.org/wiki/Southern_African_Community_USA,wikipedia,wikipedia,completed,,2025-07-31T01:28:15.392147
"Awareness on Climate Change and Acting Smart""",1,0,1,False,https://en.wikipedia.org/wiki/Public_opinion_on_climate_change,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:28:18.013531
Ksapa,1,0,1,,,,,failed,Não foi possível encontrar website para Ksapa,2025-07-31T01:28:18.600658
Patel Family Office,1,0,1,False,https://en.wikipedia.org/wiki/Shilen_Patel,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:28:20.783000
BNP Investments LLC,1,0,1,False,https://en.wikipedia.org/wiki/List_of_asset_management_firms,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:28:23.032758
RDL Cooperate Social Responsibility,1,0,1,False,https://en.wikipedia.org/wiki/Radar_in_World_War_II,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:28:26.090654
Helping India  Feeding India,1,0,1,False,https://en.wikipedia.org/wiki/Electricity_sector_in_India,wikipedia,wikipedia,completed,,2025-07-31T01:28:28.357814
Atman Group Pvt Ltd,1,0,1,False,https://en.wikipedia.org/wiki/Advaita_Vedanta,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:28:32.978861
Save a Life,1,0,1,False,https://en.wikipedia.org/wiki/How_to_Save_a_Life,wikipedia,wikipedia,completed,,2025-07-31T01:28:35.311844
ProClime,1,0,1,False,https://en.wikipedia.org/wiki/Ben_Clime,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:28:37.860941
Sri Lanka Turtle Conversation Project,1,0,1,False,https://en.wikipedia.org/wiki/Leatherback_sea_turtle,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:28:40.993751
SKyPower Global,1,0,1,False,https://en.wikipedia.org/wiki/Green_Giant_Solar_Power_Station,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:28:40.995130
The Road to Rights,1,0,1,False,https://en.wikipedia.org/wiki/The_Road_to_El_Dorado,wikipedia,wikipedia,completed,,2025-07-31T01:28:42.744810
Loam-Lanka Organic Agricultural Movement,1,0,1,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Geography_of_India,2025-07-31T01:28:43.906840
Ocean University of Sri Lanka,1,0,1,False,https://en.wikipedia.org/wiki/Ocean_University_of_Sri_Lanka,wikipedia,wikipedia,completed,,2025-07-31T01:28:45.769408
Ministry of Foreign affairs Sri Lanka,1,0,1,False,https://en.wikipedia.org/wiki/Ministry_of_Foreign_Affairs_(Sri_Lanka),wikipedia,wikipedia,completed,,2025-07-31T01:28:45.771581
LOAM,1,0,1,False,https://en.wikipedia.org/wiki/Loam,wikipedia,wikipedia,completed,,2025-07-31T01:28:48.266405
Ascent Partners Foundation Limited,1,0,1,False,https://ascenty.com/,bing,website,completed,,2025-07-31T01:28:54.352151
DMW Ventures Pvt Ltd,1,0,1,,,,,failed,Não foi possível encontrar website para DMW Ventures Pvt Ltd,2025-07-31T01:28:54.977052
Andan Organization,1,0,1,False,https://en.wikipedia.org/wiki/Anni-Frid_Lyngstad,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:28:57.337757
Alphen Capitel LLC,1,0,1,,,,,failed,Não foi possível encontrar website para Alphen Capitel LLC,2025-07-31T01:28:57.927445
"Centre for Biophilic Design, The University of Sydney, Australia",1,0,1,False,https://en.wikipedia.org/wiki/Sustainable_design,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:29:01.344179
Orbital Energy pvt LTD,1,0,1,False,https://en.wikipedia.org/wiki/Ionization_energy,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:29:04.262748
Massader,1,0,1,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Palestine,2025-07-31T01:29:05.489527
Climate Action Champions Network (CACN),1,0,1,,,,,failed,Não foi possível encontrar website para Climate Action Champions Network (CACN),2025-07-31T01:29:06.103306
Alpen Capital ME Limited,1,0,1,False,https://www.alpenoficial.com.br/,bing,website,completed,,2025-07-31T01:29:08.513948
CLIMATIC - Technology to unlock rapid climate action,1,0,1,False,https://en.wikipedia.org/wiki/Climate_of_India,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:29:11.463624
Pick plastics Youth Organization,1,0,1,False,https://en.wikipedia.org/wiki/Daniel_Franzese,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:29:14.228633
Economy Next,1,0,1,False,https://en.wikipedia.org/wiki/Experience_economy,wikipedia,wikipedia,completed,,2025-07-31T01:29:16.509003
British Counci,1,0,1,False,https://en.wikipedia.org/wiki/Wolfgang_Scheppe,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:29:21.709540
Apex Auditing,1,0,1,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Rengali_Dam,2025-07-31T01:29:22.920113
Earth Lanka Youth Network,1,0,1,False,https://en.wikipedia.org/wiki/National_Youth_Icon_Award,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:29:24.875003
World Vision Lanka,1,0,1,False,https://en.wikipedia.org/wiki/Danu_Innasithamby,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:29:27.573279
U.S Department of State,1,0,1,False,https://en.wikipedia.org/wiki/United_States_Department_of_State,wikipedia,wikipedia,completed,,2025-07-31T01:29:29.993752
Ministry of Home Affairs of Singhapore,1,0,1,,,,,failed,Não foi possível encontrar website para Ministry of Home Affairs of Singhapore,2025-07-31T01:29:30.792163
Raddella Holdings,1,0,1,,,,,failed,Não foi possível encontrar website para Raddella Holdings,2025-07-31T01:29:31.395302
Taprobane Events Managing EST,1,0,1,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Madagascar,2025-07-31T01:29:32.610050
Sovereign Wealth Fund Institute,1,0,1,False,https://en.wikipedia.org/wiki/Sovereign_wealth_fund,wikipedia,wikipedia,completed,,2025-07-31T01:29:34.643051
CuteFela,1,0,1,False,https://en.wikipedia.org/wiki/The_Visitor_(2007_feature_film),wikipedia_fallback,wikipedia,completed,,2025-07-31T01:29:36.963007
Denník Plus JEDEN DEŇ,0,1,1,False,https://en.wikipedia.org/wiki/Róbert_Boženík,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:29:40.166998
Focus Association for Sustainable Development,0,1,1,False,https://en.wikipedia.org/wiki/Sustainable_Development_Goals,wikipedia,wikipedia,completed,,2025-07-31T01:29:42.372837
IRCAI - International Research Centre on Artificial Intelligence (IRCAI) under the auspices of UNESCO,0,1,1,,,,,failed,Não foi possível encontrar website para IRCAI - International Research Centre on Artificial Intelligence (IRCAI) under the auspices of UNESCO,2025-07-31T01:29:43.011488
Employment Service of Slovenia,0,1,1,False,https://en.wikipedia.org/wiki/Economy_of_Slovenia,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:29:45.606914
"Stritih, Sustable Development Consulting",0,1,1,,,,,failed,"Não foi possível encontrar website para Stritih, Sustable Development Consulting",2025-07-31T01:29:46.268946
Ministrry of Sustainability and the Environment,0,1,1,,,,,failed,Não foi possível encontrar website para Ministrry of Sustainability and the Environment,2025-07-31T01:29:46.867924
Southeast Asia Disaster Risk Insurance Facility (SEADRIF),0,1,1,,,,,failed,Não foi possível encontrar website para Southeast Asia Disaster Risk Insurance Facility (SEADRIF),2025-07-31T01:29:47.486769
X-press Feeders,0,1,1,False,https://en.wikipedia.org/wiki/X-Press_Feeders,wikipedia,wikipedia,completed,,2025-07-31T01:29:49.218670
GE Healthcare,0,1,1,False,https://en.wikipedia.org/wiki/GE_HealthCare,wikipedia,wikipedia,completed,,2025-07-31T01:29:51.754851
Department of Irrigation,1,0,1,False,https://en.wikipedia.org/wiki/Punjab_Irrigation_Department,wikipedia,wikipedia,completed,,2025-07-31T01:29:53.705123
PRIME ROAD ALTERNATIVE COMPANY (PVT) LTD,1,0,1,False,https://en.wikipedia.org/wiki/Maruti_Suzuki,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:29:57.217499
Vidulanka PLC,1,0,1,,,,,failed,Não foi possível encontrar website para Vidulanka PLC,2025-07-31T01:29:57.824640
Razer Inc.,0,1,1,False,https://en.wikipedia.org/wiki/Razer_Inc.,wikipedia,wikipedia,completed,,2025-07-31T01:29:59.599025
"International Swaps and Derivatives Association, Inc. (ISDA)",0,1,1,False,https://en.wikipedia.org/wiki/International_Swaps_and_Derivatives_Association,wikipedia,wikipedia,completed,,2025-07-31T01:30:01.919318
SUTD,0,1,1,False,https://en.wikipedia.org/wiki/Singapore_University_of_Technology_and_Design,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:30:03.396291
Gold Standard,0,1,1,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Gold_standard,2025-07-31T01:30:05.095838
Singapore Economic Development Board,0,1,1,False,https://en.wikipedia.org/wiki/Economic_Development_Board,wikipedia,wikipedia,completed,,2025-07-31T01:30:07.013564
CITES Global Youth Network,0,1,1,False,https://en.wikipedia.org/wiki/Queer_Youth_Network,wikipedia,wikipedia,completed,,2025-07-31T01:30:10.078023
Mandai Wildlife Group,0,1,1,False,https://en.wikipedia.org/wiki/Mandai_Wildlife_Group,wikipedia,wikipedia,completed,,2025-07-31T01:30:14.266743
GreenChain Group Limited,0,1,1,True,https://en.wikipedia.org/wiki/ANZ_(bank),wikipedia_fallback,wikipedia,completed,,2025-07-31T01:30:16.731762
Phillip Capital Management,0,1,1,False,https://en.wikipedia.org/wiki/PhillipCapital,wikipedia,wikipedia,completed,,2025-07-31T01:30:18.312185
Clime Capital Management Pte. Ltd.,0,1,1,False,https://climeradar.com/,bing,website,completed,,2025-07-31T01:30:21.039391
City Sprouts,0,1,1,False,https://en.wikipedia.org/wiki/City_Sprouts,wikipedia,wikipedia,completed,,2025-07-31T01:30:22.664445
Swedish Ministry for Foreign Affairs,1,0,1,False,https://en.wikipedia.org/wiki/Ministry_for_Foreign_Affairs_(Sweden),wikipedia,wikipedia,completed,,2025-07-31T01:30:25.166387
"SEB, Skandinaviska Enskilda Banken",1,0,1,True,https://en.wikipedia.org/wiki/SEB_Group,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:30:27.488005
RAK Bank,1,0,1,False,https://en.wikipedia.org/wiki/RAKBANK,wikipedia,wikipedia,completed,,2025-07-31T01:30:28.679135
US Business Forum,1,0,1,False,https://en.wikipedia.org/wiki/Nordic_Business_Forum,wikipedia,wikipedia,completed,,2025-07-31T01:30:30.015776
The Road to Rights / Climate Action Champions Network,1,0,1,False,https://en.wikipedia.org/wiki/The_Climate_Reality_Project,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:30:32.430233
Exponential Roadmap Initiative,1,0,1,False,https://en.wikipedia.org/wiki/Solitaire_Townsend,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:30:34.092908
UBS Group AG,1,0,1,False,https://en.wikipedia.org/wiki/UBS,wikipedia,wikipedia,completed,,2025-07-31T01:30:35.885135
Swiss Agency for Development and Cooperation,1,0,1,False,https://en.wikipedia.org/wiki/Swiss_Agency_for_Development_and_Cooperation,wikipedia,wikipedia,completed,,2025-07-31T01:30:38.351975
L'Illustré,1,0,1,False,https://en.wikipedia.org/wiki/L'Illustré,wikipedia,wikipedia,completed,,2025-07-31T01:30:40.466545
State Department for International Finance,1,0,1,False,https://en.wikipedia.org/wiki/Federal_Department_of_Finance,wikipedia,wikipedia,completed,,2025-07-31T01:30:42.618633
We Don't Have Time,1,0,1,False,https://en.wikipedia.org/wiki/We_Don't_Have_to_Take_Our_Clothes_Off,wikipedia,wikipedia,completed,,2025-07-31T01:30:44.757357
Sustainable Energy Institute,1,0,1,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Sustainable_energy,2025-07-31T01:30:45.640319
Spotify,1,0,1,False,https://en.wikipedia.org/wiki/Spotify,wikipedia,wikipedia,completed,,2025-07-31T01:30:47.246524
IDGs,1,0,1,False,https://en.wikipedia.org/wiki/International_Data_Group,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:30:49.571330
Alfa Laval,1,0,1,False,https://en.wikipedia.org/wiki/Alfa_Laval,wikipedia,wikipedia,completed,,2025-07-31T01:30:51.351019
Siemens Energy AB,1,0,1,False,https://en.wikipedia.org/wiki/Siemens,wikipedia,wikipedia,completed,,2025-07-31T01:30:53.099834
"Amaar Group, A PIF Company",1,0,1,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Mohammad_Mustafa_(politician),2025-07-31T01:30:54.609766
Gender and Climate Change Group (GCCG),1,0,1,,,,,failed,Não foi possível encontrar website para Gender and Climate Change Group (GCCG),2025-07-31T01:30:55.427176
Civil Aviation Authority of Singapore,0,1,1,False,https://en.wikipedia.org/wiki/Civil_Aviation_Authority_of_Singapore,wikipedia,wikipedia,completed,,2025-07-31T01:30:56.922142
OCBC,0,1,1,False,https://en.wikipedia.org/wiki/OCBC_Bank,wikipedia,wikipedia,completed,,2025-07-31T01:30:58.269929
Nandina REM,0,1,1,False,https://en.wikipedia.org/wiki/List_of_serving_general_and_flag_officers_of_the_Singapore_Armed_Forces,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:31:00.357838
Swiss Embassy to UAE and Bahrain,1,0,1,False,https://en.wikipedia.org/wiki/Foreign_relations_of_the_United_Arab_Emirates,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:31:03.322196
CleanTech Region Impact Group,1,0,1,False,http://events.cleantech.com/,bing,website,completed,,2025-07-31T01:31:07.192804
Swedish Ecomodernists & RePlanet,1,0,1,False,https://en.wikipedia.org/wiki/WePlanet,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:31:09.488494
The Church of Sweden,1,0,1,False,https://en.wikipedia.org/wiki/Church_of_Sweden,wikipedia,wikipedia,completed,,2025-07-31T01:31:11.922126
IKEA Supply AG,1,0,1,False,https://en.wikipedia.org/wiki/Inter_IKEA_Holding,wikipedia,wikipedia,completed,,2025-07-31T01:31:13.150701
Sida (Swedish International Development Cooperation),1,0,1,False,https://en.wikipedia.org/wiki/Swedish_International_Development_Cooperation_Agency,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:31:15.303161
Singtel Group,0,1,1,False,https://en.wikipedia.org/wiki/NCS_Group,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:31:17.564753
Singapore Water Association,0,1,1,False,https://en.wikipedia.org/wiki/Singapore_men's_national_water_polo_team,wikipedia,wikipedia,completed,,2025-07-31T01:31:20.140888
3Degrees Group Inc.,0,1,1,False,https://3degreesinc.com/,bing,website,completed,,2025-07-31T01:31:23.293385
Keppel Ltd,0,1,1,False,https://en.wikipedia.org/wiki/Keppel_Ltd.,wikipedia,wikipedia,completed,,2025-07-31T01:31:24.518665
Maybank Singapore,0,1,1,False,https://en.wikipedia.org/wiki/Maybank,wikipedia,wikipedia,completed,,2025-07-31T01:31:26.452639
GEHC,0,1,1,False,https://en.wikipedia.org/wiki/GE_HealthCare,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:31:28.772511
Ericsson,1,0,1,False,https://en.wikipedia.org/wiki/Ericsson,wikipedia,wikipedia,completed,,2025-07-31T01:31:30.697780
Vattenfall,1,0,1,False,https://en.wikipedia.org/wiki/Vattenfall,wikipedia,wikipedia,completed,,2025-07-31T01:31:31.915753
RagnSells,1,0,1,False,https://en.wikipedia.org/wiki/Partille_Municipality,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:31:34.774451
Swedish Ecomodernists,1,0,1,False,https://en.wikipedia.org/wiki/Ecomodernism,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:31:37.224817
Green Fintech Network (Switzerland),1,0,1,False,https://en.wikipedia.org/wiki/Monetary_Authority_of_Singapore,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:31:39.694398
Embassy of Switzerland to the UAE and Bahrain,1,0,1,False,https://en.wikipedia.org/wiki/List_of_diplomatic_missions_in_the_United_Arab_Emirates,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:31:42.088849
Federal Office for Agriculture,1,0,1,False,https://en.wikipedia.org/wiki/Federal_Office_for_Agriculture,wikipedia,wikipedia,completed,,2025-07-31T01:31:43.250634
Swiss Life,1,0,1,True,https://en.wikipedia.org/wiki/Swiss_Life,wikipedia,wikipedia,completed,,2025-07-31T01:31:44.673768
Good Food Institute,0,1,1,False,https://en.wikipedia.org/wiki/The_Good_Food_Institute,wikipedia,wikipedia,completed,,2025-07-31T01:31:46.636909
"Prime Minister's Office, Strategy Group,NCCS",0,1,1,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Indira_Gandhi,2025-07-31T01:31:48.024519
"Agency for Science, Technology and Research)",0,1,1,False,"https://en.wikipedia.org/wiki/Agency_for_Science,_Technology_and_Research",wikipedia,wikipedia,completed,,2025-07-31T01:31:50.084643
The Global Energy Alliance for People and Planet,0,1,1,False,https://en.wikipedia.org/wiki/Latin_Americans_Energy_Organization,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:31:52.398445
Swiss Sustainable Finance,1,0,1,False,https://en.wikipedia.org/wiki/Sustainable_finance,wikipedia,wikipedia,completed,,2025-07-31T01:31:54.430981
Pictet Group,1,0,1,False,https://en.wikipedia.org/wiki/Pictet_Group,wikipedia,wikipedia,completed,,2025-07-31T01:31:56.354061
Swiss State Secretariat for Economic Affairs,1,0,1,False,https://en.wikipedia.org/wiki/State_Secretariat_for_Economic_Affairs_(Switzerland),wikipedia,wikipedia,completed,,2025-07-31T01:31:58.451106
Swiss Re Management Ltd.,1,0,1,True,https://en.wikipedia.org/wiki/Swiss_Re,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:32:00.737089
BlackRock Asset Management Schweiz AG,1,0,1,False,https://www.blackrock.com/br,bing,website,completed,,2025-07-31T01:32:06.099790
State Secretariat for International Finance,1,0,1,False,https://en.wikipedia.org/wiki/State_Secretariat_for_International_Finance,wikipedia,wikipedia,completed,,2025-07-31T01:32:07.432421
Swiss Banking,1,0,1,False,https://en.wikipedia.org/wiki/Banking_in_Switzerland,wikipedia,wikipedia,completed,,2025-07-31T01:32:10.147661
Vontobel Asset Management,1,0,1,False,https://www.vontobel.com/en/,bing,website,completed,,2025-07-31T01:32:14.458058
Advisor on NDC implementation,1,0,1,False,https://en.wikipedia.org/wiki/John_Mahama,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:32:17.507342
Association of renewable energy of Tajikistan,1,0,1,False,https://en.wikipedia.org/wiki/Renewable_energy_in_Bangladesh,wikipedia,wikipedia,completed,,2025-07-31T01:32:20.077653
Supervisor of Caritas program Switzerland in Central Asia,1,0,1,False,https://en.wikipedia.org/wiki/Caritas_Internationalis,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:32:24.275366
"National University of Singapore, Lee Kuan Yew School of Public Policy",0,1,1,False,https://en.wikipedia.org/wiki/Lee_Kuan_Yew_School_of_Public_Policy,wikipedia,wikipedia,completed,,2025-07-31T01:32:26.959160
Ministry of Sustainability and the  Envionment,0,1,1,,,,,failed,Não foi possível encontrar website para Ministry of Sustainability and the  Envionment,2025-07-31T01:32:27.758589
University of Sierra Leone,0,1,1,False,https://en.wikipedia.org/wiki/University_of_Sierra_Leone,wikipedia,wikipedia,completed,,2025-07-31T01:32:29.709108
Youth Climate council SL;  Fourah Bay College,0,1,1,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Sierra_Leone,2025-07-31T01:32:31.000144
UN Youth Advisory Group,0,1,1,False,https://en.wikipedia.org/wiki/Archana_Soreng,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:32:33.641779
Indigenes Mining and Oil & Gas Company Limited,0,1,1,False,https://en.wikipedia.org/wiki/Okrika,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:32:36.461530
Operations,0,1,1,,,,,failed,Não foi possível extrair conteúdo relevante de https://en.wikipedia.org/wiki/Operation,2025-07-31T01:32:37.694244
Conductor Capital Climate investment,0,1,1,False,https://conductor.com.br/home/dock-2/,bing,website,completed,,2025-07-31T01:32:45.700083
Thai Feed Mill Association,1,0,1,False,https://en.wikipedia.org/wiki/Agriculture_in_Thailand,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:32:48.926356
PTT PUBLIC COMPANY LTD.,1,0,1,False,https://www.ptt.cc/bbs/,bing,website,completed,,2025-07-31T01:32:55.041742
"True Leasing Co., Ltd.",1,0,1,False,https://en.wikipedia.org/wiki/Bangkok_Airways,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:32:59.226682
Head of Division,1,0,1,False,https://en.wikipedia.org/wiki/Nikita_(TV_series),wikipedia_fallback,wikipedia,completed,,2025-07-31T01:33:01.888000
Federal Office for the Environment,1,0,1,False,https://en.wikipedia.org/wiki/Federal_Office_for_the_Environment,wikipedia,wikipedia,completed,,2025-07-31T01:33:04.063989
"TRUE LEASING CO., LTD",1,0,1,False,https://en.wikipedia.org/wiki/Bangkok_Airways,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:33:05.728608
True Leasing Company Limited,1,0,1,False,https://en.wikipedia.org/wiki/AWAS_(company),wikipedia_fallback,wikipedia,completed,,2025-07-31T01:33:07.836263
Thailand Environment Institute (TEI),1,0,1,False,https://en.wikipedia.org/wiki/Urban_agriculture_by_region,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:33:11.766049
"BIG (Bangkok Industrial Gas Co., Ltd)",1,0,1,False,https://en.wikipedia.org/wiki/Siemens,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:33:14.467503
CP Group,1,0,1,False,https://en.wikipedia.org/wiki/Charoen_Pokphand,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:33:16.482405
Charoen Pokphand Group,1,0,1,False,https://en.wikipedia.org/wiki/Charoen_Pokphand,wikipedia,wikipedia,completed,,2025-07-31T01:33:18.415939
Proofpoint,0,1,1,False,https://en.wikipedia.org/wiki/Proofpoint,wikipedia,wikipedia,completed,,2025-07-31T01:33:21.670530
Islamic Religious Council of Singapore (Muis),0,1,1,False,https://www.islamicity.org/covers/whatisislam/,bing,website,completed,,2025-07-31T01:33:27.803683
Women Innovative Network for Development,0,1,1,False,https://en.wikipedia.org/wiki/United_Nations_Development_Fund_for_Women,wikipedia,wikipedia,completed,,2025-07-31T01:33:30.102427
Youth for Energy Southeast Asia,1,0,1,False,https://en.wikipedia.org/wiki/ASEAN,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:33:33.010182
"Ministry of Higher Education Science, Research and Innovation",1,0,1,False,"https://en.wikipedia.org/wiki/Ministry_of_Higher_Education,_Science,_Research_and_Innovation",wikipedia,wikipedia,completed,,2025-07-31T01:33:35.170581
TDEM,1,0,1,False,https://en.wikipedia.org/wiki/Texas_Division_of_Emergency_Management,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:33:37.915051
The Siam Society Under Royal Patronage,1,0,1,False,https://en.wikipedia.org/wiki/Siam_Society,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:33:40.122871
Kasikorn Bank,1,0,1,False,https://en.wikipedia.org/wiki/Kasikornbank,wikipedia,wikipedia,completed,,2025-07-31T01:33:42.177104
PTT Public Co.Ltd.,1,0,1,False,https://www.ptt.cc/bbs/,bing,website,completed,,2025-07-31T01:33:46.683974
"State Secretariat for International Finance, Switzerland",1,0,1,False,https://en.wikipedia.org/wiki/State_Secretariat_for_International_Finance,wikipedia,wikipedia,completed,,2025-07-31T01:33:48.608185
TOYOTA,1,0,1,False,https://en.wikipedia.org/wiki/Toyota,wikipedia,wikipedia,completed,,2025-07-31T01:33:48.609039
SCB X PUBLIC COMPANY LIMITED,1,0,1,False,https://en.wikipedia.org/wiki/Siam_Commercial_Bank,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:33:51.455404
SEAMEO SPAFA,1,0,1,False,https://en.wikipedia.org/wiki/SEAMEO_SPAFA,wikipedia,wikipedia,completed,,2025-07-31T01:33:53.507900
Thai Timber Association,1,0,1,False,https://en.wikipedia.org/wiki/Economy_of_Thailand,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:33:56.945363
Bank of Thailand,1,0,1,False,https://en.wikipedia.org/wiki/Bank_of_Thailand,wikipedia,wikipedia,completed,,2025-07-31T01:33:59.168801
Sul and Beyond,1,0,1,False,https://en.wikipedia.org/wiki/Rio_Grande_do_Sul,wikipedia,wikipedia,completed,,2025-07-31T01:34:01.399431
FINANCE,1,0,1,False,https://en.wikipedia.org/wiki/Finance,wikipedia,wikipedia,completed,,2025-07-31T01:34:01.401083
Earthology Company Limited,1,0,1,False,https://en.wikipedia.org/wiki/Cloud_Cult,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:34:03.607055
"(The Siam Society), Southeast Asian Cultural Heritage Alliance (SEACHA)",1,0,1,,,,,failed,"Não foi possível encontrar website para (The Siam Society), Southeast Asian Cultural Heritage Alliance (SEACHA)",2025-07-31T01:34:04.311839
CHULALONGKORN UNIVERSITY,1,0,1,False,https://en.wikipedia.org/wiki/Chulalongkorn_University,wikipedia,wikipedia,completed,,2025-07-31T01:34:04.312707
Ministry of natural Resources and Environment,1,0,1,False,https://en.wikipedia.org/wiki/Ministry_of_Natural_Resources_and_Environment_(Vietnam),wikipedia,wikipedia,completed,,2025-07-31T01:34:04.313682
NR INSTANT PRODUCE PCL. (NRF),1,0,1,,,,,failed,Não foi possível encontrar website para NR INSTANT PRODUCE PCL. (NRF),2025-07-31T01:34:04.961444
Srinakharinwirot University,1,0,1,False,https://en.wikipedia.org/wiki/Srinakharinwirot_University,wikipedia,wikipedia,completed,,2025-07-31T01:34:06.264142
Magnolia Quality Development Corporation Limited,1,0,1,False,https://en.wikipedia.org/wiki/Chearavanont_family,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:34:08.212047
"KONG THA-NU SUBDISTRICT ADMINISTRATIVE  ORGANIZATION, LOPBURI PROVINCE",1,0,1,,,,,failed,"Não foi possível encontrar website para KONG THA-NU SUBDISTRICT ADMINISTRATIVE  ORGANIZATION, LOPBURI PROVINCE",2025-07-31T01:34:08.896711
"BAN KHOI SUBDISTRICT ADMINISTRATIVE  ORGANIZATION, LOPBURI PROVINCE",1,0,1,False,https://en.wikipedia.org/wiki/Saraburi_province,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:34:11.400218
Miraj,0,1,1,False,https://en.wikipedia.org/wiki/Miraj,wikipedia,wikipedia,completed,,2025-07-31T01:34:14.502227
Agence de Promotion et de Développement des Agropoles au Togo (APRODAT),1,0,1,,,,,failed,Não foi possível encontrar website para Agence de Promotion et de Développement des Agropoles au Togo (APRODAT),2025-07-31T01:34:15.190248
Ormex,1,0,1,False,https://www.ormex.io/standard-and-methodology,bing,website,completed,,2025-07-31T01:34:15.190923
Council of Presidents of the Environment,1,0,1,False,https://en.wikipedia.org/wiki/Lord_President_of_the_Council,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:34:18.721255
Directeur Exécutif,1,0,1,False,https://en.wikipedia.org/wiki/Emlyon_Business_School,wikipedia_fallback,wikipedia,completed,,2025-07-31T01:34:21.765354
Société Elbuhaira,1,0,1,,,,,failed,Não foi possível encontrar website para Société Elbuhaira,2025-07-31T01:34:22.352149
Expert Seabex,1,0,1,,,,,failed,Não foi possível encontrar website para Expert Seabex,2025-07-31T01:34:23.097214
Kumulus,1,0,1,False,https://en.wikipedia.org/wiki/Kumulus,wikipedia,wikipedia,completed,,2025-07-31T01:34:24.890274
